City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Luwuk,ID,77.49,80,52,5.61,1592581443,122.79,-0.95
Hamilton,US,82.0,69,1,3.36,1592580663,-84.53,39.18
Yushu,CN,64.0,72,99,8.05,1592581443,126.53,44.8
Paamiut,GL,37.18,92,100,8.59,1592581016,-49.67,61.99
Charters Towers,AU,60.46,80,20,6.35,1592581075,146.27,-20.1
Udachny,RU,63.68,58,78,10.13,1592581264,112.4,66.42
Jamestown,US,75.0,68,1,3.29,1592580659,-79.24,42.1
Busselton,AU,46.99,76,40,8.88,1592581444,115.33,-33.65
Bethel,US,80.01,60,40,4.7,1592580832,-73.41,41.37
Saldanha,ZA,77.0,29,0,12.75,1592581178,17.94,-33.01
Kapaa,US,77.0,78,75,16.11,1592581444,-159.32,22.08
Rikitea,PF,73.24,89,100,15.08,1592580996,-134.97,-23.12
East London,ZA,68.0,60,0,5.82,1592580860,27.91,-33.02
Makakilo City,US,75.2,88,75,14.5,1592580917,-158.09,21.35
Iporá,BR,81.91,41,67,6.31,1592581446,-51.12,-16.44
Upernavik,GL,36.64,82,1,9.48,1592580880,-56.15,72.79
Mar del Plata,AR,62.01,71,100,9.17,1592581402,-57.56,-38.0
Cabo San Lucas,MX,89.6,33,5,3.36,1592581313,-109.91,22.89
San Patricio,MX,80.6,83,40,5.21,1592580882,-104.7,19.22
Ushuaia,AR,35.6,81,90,2.24,1592580850,-68.3,-54.8
New Norfolk,AU,45.0,87,100,1.41,1592580660,147.06,-42.78
Qaanaaq,GL,35.85,81,88,2.64,1592581447,-69.36,77.48
Vila Velha,BR,75.99,83,75,5.82,1592580891,-40.29,-20.33
Antofagasta,CL,60.8,72,75,3.36,1592580870,-70.4,-23.65
Atar,MR,108.59,10,0,10.74,1592580922,-13.05,20.52
Aktau,KZ,87.8,15,49,11.18,1592581058,51.2,43.65
Port Alfred,ZA,66.83,49,0,10.09,1592581174,26.89,-33.59
Safi,MA,71.82,64,0,24.14,1592580852,-9.24,32.3
Mayo,US,79.0,74,90,5.82,1592580861,-76.51,38.89
Kutum,SD,92.48,12,68,14.43,1592580918,24.67,14.2
Bilibino,RU,63.19,52,84,2.73,1592580930,166.44,68.05
Vostok,RU,42.94,100,27,1.14,1592580930,135.88,46.49
Honningsvåg,NO,42.33,81,60,19.22,1592581000,25.97,70.98
Kysyl-Syr,RU,60.6,71,73,4.34,1592581448,122.76,63.9
Sisimiut,GL,46.31,57,12,13.06,1592581047,-53.67,66.94
Carnarvon,AU,62.6,88,0,8.05,1592581449,113.63,-24.87
Yellowknife,CA,57.2,58,20,14.99,1592581174,-114.35,62.46
Atuona,PF,80.04,76,46,15.73,1592581001,-139.03,-9.8
Tierralta,CO,85.8,70,90,3.42,1592581449,-76.06,8.17
