City,Latitude,Temperature,Humidity,Cloudiness,Windspeed
Vardø,70.37,48.2,66,51,12.75
Albany,42.6,81.0,63,58,7.58
Geraldton,-28.77,59.0,82,90,5.82
East London,-33.02,80.6,24,0,5.82
Nishihara,26.18,82.4,94,40,4.85
Cockburn Town,21.46,84.2,79,40,11.41
Ribeira Grande,38.52,68.0,72,75,17.22
Caconda,-13.73,77.09,18,0,4.54
Waipawa,-41.41,48.2,87,2,8.05
Ponta do Sol,32.67,71.6,68,40,9.17
Hobart,-42.88,54.0,93,75,13.87
Carnarvon,-24.87,62.6,82,0,8.05
Ponta Delgada,37.73,66.2,93,75,17.22
Dikson,73.51,38.35,90,100,16.71
Buala,-8.14,80.83,75,62,5.41
Tasiilaq,65.61,46.4,65,75,4.7
Rikitea,-23.12,69.44,55,100,13.62
Rio Grande,-32.03,68.0,88,64,11.41
Hermanus,-34.42,70.0,55,2,1.01
Saskylakh,71.92,78.67,36,78,6.08
Ushuaia,-54.8,33.8,92,90,11.41
Sobolevo,54.43,72.66,71,17,9.01
Yellowknife,62.46,64.99,76,20,14.99
Dubbo,-32.25,48.2,93,90,9.17
Pangai,-19.8,77.0,83,40,8.05
Saint-Philippe,-21.36,75.2,64,13,23.04
Cukai,4.25,75.2,100,100,4.81
Nome,64.5,46.4,70,90,11.41
São Filipe,14.9,81.19,57,13,11.61
Busselton,-33.65,54.0,69,56,12.71
Jamestown,42.1,69.8,88,20,10.29
Zaysan,47.47,70.09,24,7,2.62
Egvekinot,66.32,36.57,85,99,2.64
Fort Saint James,54.43,51.84,88,99,3.85
Vaini,-21.2,69.8,100,20,4.7
Plattling,48.78,75.99,100,0,7.58
Khatanga,71.97,72.37,52,100,4.61
Cape Town,-33.93,68.0,55,0,13.87
Puerto Ayora,-0.74,68.0,96,75,1.99
Rawson,-43.3,47.35,53,0,7.61
Omboué,-1.57,77.81,72,64,9.22
Mâncio Lima,-7.61,81.34,71,22,2.33
Kapaa,22.08,77.0,78,40,13.87
Malm,64.07,73.4,49,84,11.41
Castlemaine,-37.07,48.0,60,31,4.85
Norman Wells,65.28,51.8,100,75,8.3
Mamlyutka,54.94,61.23,62,0,6.71
